scenario,layer,mode,avg_final_global,avg_final_survived,avg_last50_global,avg_last50_survived,avg_max_pop,avg_steps_alive,total_moves,std_final_global,std_final_survived,std_last50_global,std_last50_survived,std_moves,n_extinctions,extinction_rate,avg_movement_frequency,std_movement_frequency,avg_harvested_food,std_harvested_food,avg_reproduction_events,std_reproduction_events,avg_action_entropy,std_action_entropy,avg_policy_confidence,std_policy_confidence
S1,0,LLM,0.0,nan,0.0,nan,50.0,25.6,446.6,0.0,nan,0.0,nan,17.91089054179049,5,1.0,0.9028888,0.004513477561703399,2.3241076,0.027302173618596732,0.2,0.44721359549995804,1.40946,0.008970417019291783,0.1242532,0.005573418717448025
S2,0,LLM,13.2,13.2,13.264,13.264,50.2,400.0,6873.0,1.0954451150103321,1.0954451150103321,1.0901742979909221,1.0901742979909221,338.6849568551872,0,0.0,0.942308,0.0021513394664719825,2.391089,0.024858129213599263,0.4,0.5477225575051662,1.3643878,0.004250538695271463,0.15225819999999998,0.0026409165454440277
S3,0,LLM,14.8,14.8,15.16,15.16,50.2,400.0,7823.8,0.8366600265340756,0.8366600265340756,1.36,1.36,266.27842571263636,0,0.0,0.9276425999999999,0.002892275799435425,2.3714342000000004,0.041075244925624,0.6,0.5477225575051662,1.3717498000000001,0.010170708318499741,0.1476838,0.00631934250535608
S4,0,LLM,19.6,19.6,19.788,19.788,50.6,400.0,9371.0,1.5165750888103102,1.5165750888103102,1.4786209791559155,1.4786209791559155,217.93921170821923,0,0.0,0.9184774000000001,0.004288288912841586,2.3368346,0.028202416754597445,1.2,1.3038404810405297,1.3747794,0.006524150925599504,0.14580160000000003,0.0040535043850969225
S5,0,LLM,46.6,46.6,47.516,47.516,52.4,400.0,15666.8,1.51657508881031,1.51657508881031,1.761101927771361,1.761101927771361,335.6630751214676,0,0.0,0.7860835364778925,0.008517279309690933,2.1906826241353787,0.03354794853513119,7.2,3.271085446759225,1.4198400829547606,0.00616781119526974,0.11780375497218991,0.0038322765653889543
