in_0,in_1,in_2,in_3,in_4,in_5,in_6,in_7,in_8,in_9,move_target,repro_target,episode_id,agent_id
1.5007471688540683,7.809501150300843,5.314002542289095,4.522078084219109,0.0,0.0,0.0,0.0,0.9672368865174512,4.962172463069842,1,0,0,16
2.0016713791314196,4.348800027057645,0.0,3.261449377165081,0.0,0.0,0.0,1.0,4.851501150300843,5.0207379704558734,4,0,0,16
2.0436713791314194,1.3908000270576446,0.042,3.822245618846268,0.0,1.0,0.0,0.0,1.8935011503008425,6.071737970455874,3,0,0,16
2.085671379131419,0.0,0.084,0.8642456188462679,0.0,1.0,0.0,1.0,0.0,6.058239120756716,0,0,0,16
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.151239120756716,4,0,0,16
0.0,0.042,0.042,0.0,0.0,0.0,0.0,0.0,0.0,2.244239120756716,4,0,0,16
0.042,0.084,0.084,0.042,0.0,0.0,0.0,0.0,0.0,0.337239120756716,1,0,0,16
2.8356068219746406,6.750927867731383,-1.0,5.128660542643532,0.0,0.0,1.0,0.0,3.223930831450998,5.466715037203576,1,0,0,17
2.8776068219746405,3.7929278677313825,-1.0,5.170660542643532,0.0,1.0,1.0,0.0,0.26593083145099783,6.517715037203576,3,0,0,17
0.0,0.042,0.0,0.24928810279838012,1.0,0.0,1.0,0.0,2.2126605426435315,6.265172029762861,4,0,0,17
0.43813762462482914,0.084,0.0,0.29128810279838013,0.0,0.0,0.0,0.0,0.0,6.570832572406393,4,0,0,17
0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.0,4.663832572406393,4,0,0,17
0.042,0.042,0.084,0.0,0.0,0.0,0.0,0.0,0.0,2.7568325724063927,4,0,0,17
0.084,0.084,0.126,0.042,0.0,0.0,0.0,0.0,0.0,0.8498325724063927,2,0,0,17
3.484218886855664,2.934831907027771,6.136579852770956,4.592361807743439,0.0,0.0,0.0,0.0,5.0,3.9645207218314926,4,0,0,24
3.5262188868556636,2.976831907027771,6.178579852770956,4.6343618077434385,0.0,0.0,0.0,0.0,2.042,5.015520721831493,2,0,0,24
6.1183764957395335,3.427537611190445,-1.0,0.08710414436629854,0.0,0.0,1.0,1.0,3.220579852770956,5.063416577465194,0,0,0,24
3.48156911754403,4.2752631682639946,-1.0,0.6102188868556633,0.0,0.0,1.0,1.0,3.1603764957395333,5.101733261972155,4,0,0,24
0.5235691175440298,4.317263168263994,-1.0,0.0,1.0,0.0,1.0,0.0,0.2023764957395331,6.1527332619721555,1,0,0,24
1.4749231481339644,0.5535376111904444,-1.0,0.042,0.0,1.0,1.0,0.0,1.3592631682639942,5.973186609577724,4,0,0,24
0.0,0.0,-1.0,0.084,1.0,1.0,1.0,0.0,0.0,5.425449777841719,4,0,0,24
0.0,0.0,-1.0,0.126,0.0,0.0,1.0,0.0,0.0,3.5184497778417185,4,0,0,24
0.042,0.042,-1.0,0.168,0.0,0.0,1.0,0.0,0.0,1.6114497778417185,4,0,0,24
6.162346673356048,0.08341855215993751,0.3409333777224184,0.0,0.0,0.0,1.0,1.0,2.0861946112119396,4.473725834036376,0,0,0,35
3.2043466733560475,0.0,0.0,1.1240479487243413,1.0,1.0,0.0,0.0,0.0,4.6529204452483155,3,0,0,35
0.8143284677626839,3.327002709770017,0.9725840890496632,1.1720120916171488,0.0,0.0,0.0,0.0,0.0,2.9393843049229935,1,1,0,35
0.0,0.5602429647598653,0.0,0.0,1.0,0.0,0.0,1.0,0.36900270977001703,2.2267537219691973,1,0,0,35
0.0,6.432155696757611,1.3717270240216817,0.0,0.0,0.0,0.0,0.0,0.0,0.43464594233522336,1,0,0,35
0.12892918846704468,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.4741556967576104,1.3987167538681786,4,0,0,35
0.1709291884670447,-1.0,0.421768767634501,0.042,0.0,1.0,0.0,0.0,0.5161556967576102,2.4497167538681786,4,0,0,35
0.2129291884670447,-1.0,0.463768767634501,0.084,0.0,1.0,0.0,0.0,0.0,1.0588724506257887,2,1,0,35
-1.0,5.032833516353293,6.645087168486762,7.579740898699506,1.0,0.0,0.0,0.0,0.7421307938316852,5.729007187106033,3,0,0,42
-1.0,3.2133402139333462,1.929932231252892,2.621613496191049,1.0,0.0,0.0,0.0,4.621740898699506,5.634205749684827,4,1,0,42
-1.0,0.25534021393334605,0.0,2.663613496191049,1.0,1.0,1.0,0.0,1.6637408986995057,3.868102874842413,3,1,0,42
-1.0,0.6261353721490188,0.0,5.845660823311673,1.0,1.0,1.0,0.0,0.0,2.3038546461280136,3,0,0,42
-1.0,0.042,0.5027709292256027,4.779164997771636,1.0,0.0,0.0,1.0,2.8876608233116725,2.8940837169024105,4,0,0,42
-1.0,0.084,0.0,1.8211649977716355,1.0,0.0,0.0,1.0,0.0,3.874744540214083,4,0,0,42
-1.0,0.126,0.042,0.0,1.0,0.0,0.0,1.0,0.0,1.967744540214083,4,0,0,42
-1.0,0.168,0.084,0.0,1.0,0.0,0.0,0.0,0.0,0.06074454021408293,1,0,0,42
-1.0,0.0,6.692024657641063,1.6561249955950492,1.0,1.0,0.0,1.0,3.356615068267333,3.764207038976833,4,0,0,69
-1.0,0.0,6.734024657641063,0.0,1.0,1.0,0.0,1.0,0.3986150682673326,4.815207038976833,4,0,0,69
-1.0,0.0,6.776024657641063,0.0,1.0,0.0,0.0,0.0,0.0,3.306822107244166,2,0,0,69
-1.0,1.0608439322698306,0.38145633760588105,0.7033644214488333,1.0,0.0,1.0,0.0,3.818024657641063,3.696457685795333,4,0,0,69
-1.0,0.0,0.0,0.7453644214488333,1.0,0.0,0.0,0.0,0.8600246576410626,4.747457685795333,4,0,0,69
-1.0,0.042,0.0,0.7873644214488333,1.0,0.0,0.0,0.0,0.0,3.700482343436396,4,0,0,69
-1.0,0.084,0.0,0.8293644214488334,1.0,0.0,0.0,0.0,0.0,1.7934823434363958,4,1,0,69
0.0,0.7395878328542265,6.918824044088498,0.0,1.0,0.0,0.0,1.0,2.458531361419385,2.3553213012740715,2,0,0,74
1.3637665087935424,1.2967159927702836,4.306724074989536,2.971595621674199,0.0,0.0,0.0,0.0,3.960824044088498,2.9352570410192573,4,0,0,74
0.0,1.3387159927702836,4.348724074989536,3.013595621674199,1.0,0.0,0.0,0.0,1.0028240440884977,3.9862570410192575,2,1,0,74
1.236463964975731,5.536847082612524,-1.0,1.8420754522923493,1.0,0.0,1.0,0.0,1.390724074989536,2.645502816407703,1,0,0,74
1.9618246382710767,-1.0,-1.0,1.4227159927702837,0.0,1.0,1.0,0.0,2.5788470826125236,3.167402253126162,4,0,0,74
0.0,-1.0,-1.0,1.4647159927702837,1.0,1.0,1.0,0.0,0.0,3.8392493357386854,3,1,0,74
0.0,-1.0,0.8098498671477372,0.0,1.0,1.0,0.0,0.0,0.0,1.0934157270657578,2,1,0,74
0.0,6.826263271809012,-1.0,7.376504113887453,1.0,0.0,1.0,0.0,2.5809398317407872,4.010855199745385,3,0,1,2
0.6607737297267087,7.313898137094206,3.425110871689864,7.8211418441867275,0.0,0.0,0.0,0.0,4.418504113887453,4.259684159796308,3,1,1,2
2.3514672819659603,2.4746297651165285,5.312440945846714,0.0,0.0,0.0,0.0,1.0,4.863141844186727,2.7548736639185227,2,1,1,2
0.7447737297267087,7.397898137094206,0.5091108716898636,5.456116576970432,0.0,0.0,1.0,0.0,2.354440945846714,2.152949465567409,1,0,1,2
0.7867737297267088,4.439898137094206,0.9817007648033454,5.498116576970432,0.0,1.0,0.0,0.0,0.0,2.600390411414123,3,0,1,2
0.8287737297267088,1.4818981370942055,1.0237007648033454,2.5401165769704317,0.0,1.0,0.0,1.0,0.0,0.6933904114141232,2,1,1,2
0.06457497923100172,0.47937869989988274,7.151739367762242,4.053919044226199,0.0,0.0,0.0,0.0,0.814967376872505,5.366854551899795,2,0,1,3
3.2496921874869846,0.0,0.3745213278375914,1.9303382872524641,0.0,0.0,1.0,0.0,4.193739367762242,5.344483641519837,4,0,1,3
3.2916921874869844,0.042,0.0,0.0,0.0,0.0,0.0,1.0,1.2357393677622417,6.395483641519837,4,0,1,3
0.33369218748698426,0.084,0.0,0.07418179572851955,1.0,0.0,0.0,0.0,0.0,5.7242230092820785,4,0,1,3
1.5063889772920689,0.0,0.042,0.11618179572851955,0.0,0.0,0.0,0.0,0.0,3.8172230092820785,0,0,1,3
0.0,0.042,0.084,0.15818179572851956,1.0,0.0,0.0,0.0,0.0,1.9102230092820784,4,0,1,3
0.0,0.084,0.126,0.20018179572851957,0.0,0.0,0.0,0.0,0.0,0.003223009282078415,3,0,1,3
7.359250307213774,7.312258329696732,6.656488963718995,5.520252295954678,0.0,0.0,0.0,0.0,0.0,0.9379406727815898,0,1,1,4
0.0,0.0,0.0,4.051388459178675,0.0,0.0,1.0,0.0,4.401250307213774,1.4261762691126358,4,0,1,4
0.042,0.0,0.07766279013199308,4.093388459178675,0.0,0.0,0.0,0.0,1.4432503072137735,2.4771762691126358,3,1,1,4
1.773771697845116,5.646252295954677,1.9806855610363006,-1.0,1.0,0.0,0.0,1.0,1.1353884591786745,2.0418705076450543,1,1,1,4
1.5857625607076853,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,2.688252295954677,1.8677482030580217,4,1,1,4
0.0,0.0,0.0,-1.0,1.0,0.0,0.0,1.0,0.0,1.7151263974836877,4,1,1,4
0.0,4.2729485554459945,3.6862594340285044,2.820139445559084,1.0,0.0,0.0,0.0,2.7314944550478266,6.0332889629402775,1,0,1,15
3.980152247635882,4.297506173718284,0.5375682189679759,0.27439089936301503,0.0,0.0,0.0,0.0,1.3149485554459943,5.877631170352222,1,0,1,15
2.5324747895164386,0.0,3.169641121806551,3.2916921874869844,0.0,0.0,1.0,0.0,1.3395061737182834,5.753104936281778,3,0,1,15
0.042,0.0,2.532127160974639,0.0,0.0,1.0,0.0,0.0,0.33369218748698426,5.653483949025422,2,0,1,15
0.0,0.042,0.0,1.5063889772920689,1.0,0.0,1.0,0.0,0.0,5.147914320194976,3,0,1,15
0.126,0.0,0.0,0.042,0.0,1.0,0.0,0.0,0.0,3.71772043344805,4,1,1,15
6.017709409227013,4.0142778130649885,7.975492828929928,4.446320952570257,0.0,0.0,0.0,0.0,1.9549239832879541,5.731001841947613,2,0,1,17
3.560308185147594,0.1628217023238534,2.768570945935436,3.1431243516774767,1.0,1.0,0.0,0.0,5.0,5.63580147355809,4,0,1,17
4.229224415751753,0.0,2.810570945935436,3.1851243516774765,0.0,1.0,0.0,0.0,2.042,6.6868014735580905,0,0,1,17
1.2712244157517532,0.5250394367225891,2.852570945935436,3.2271243516774764,1.0,0.0,0.0,0.0,0.0,6.82180147355809,3,1,1,17
0.0,0.0,1.4063602947116183,1.6143209525702567,1.0,1.0,0.0,1.0,0.26912435167747617,3.7797205894232357,2,1,1,17
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.251984646389094,4,1,1,17
3.3962985800331458,2.7265709459354364,6.246739528674366,6.518308185147594,0.0,0.0,0.0,0.0,2.730623953139287,5.208952882551984,3,1,1,19
7.592855109324317,5.0,0.8144145296496839,6.059709409227013,0.0,1.0,1.0,0.0,3.560308185147594,3.134581153020794,0,0,1,19
-1.0,4.229224415751753,0.4802985800331454,8.0,1.0,0.0,1.0,0.0,4.634855109324317,3.558664922416635,3,0,1,19
-1.0,0.14370940922701259,5.388588093807644,0.19878167058722862,1.0,1.0,0.0,0.0,5.0,3.8979319379333077,2,1,1,19
-1.0,0.0,2.4305880938076436,0.0,1.0,1.0,1.0,0.0,2.042,4.948931937933308,4,1,1,19
