scenario,layer,mode,avg_final_global,avg_final_survived,avg_last50_global,avg_last50_survived,avg_max_pop,avg_steps_alive,total_moves,std_final_global,std_final_survived,std_last50_global,std_last50_survived,std_moves,n_extinctions,extinction_rate,avg_movement_frequency,std_movement_frequency,avg_harvested_food,std_harvested_food,avg_reproduction_events,std_reproduction_events,avg_action_entropy,std_action_entropy,avg_policy_confidence,std_policy_confidence
S1,0,LLM,0.0,nan,0.0,nan,50.0,28.0,441.0,0.0,nan,0.0,nan,21.400934559032695,5,1.0,0.8663558,0.019470251184820403,2.3097898,0.02196873621080646,0.0,0.0,1.4600711999999998,0.03196274783556632,0.09280659999999999,0.019859506547243312
S2,0,LLM,31.2,31.2,30.48,30.48,50.0,400.0,10663.8,1.3038404810405297,1.3038404810405297,1.3352902306240397,1.3352902306240397,373.95213597464584,0,0.0,0.9198848,0.00200260110855856,2.712494,0.041427167963789126,6.8,2.7748873851023217,1.3988988000000002,0.006286579650334516,0.13081519999999996,0.0039057700521151983
S3,0,LLM,31.4,31.4,31.224,31.224,50.0,400.0,12338.4,1.8165902124584952,1.8165902124584952,2.1238832359619018,2.1238832359619018,579.071066450397,0,0.0,0.9134786,0.0013504837281507595,2.640864,0.03297115985979259,1.0,1.0,1.3923872000000002,0.008151699466982326,0.1348614,0.005065043810274499
S4,0,LLM,39.8,39.8,39.46,39.46,50.0,400.0,15093.2,2.16794833886788,2.16794833886788,2.245172599155797,2.245172599155797,462.0056276713521,0,0.0,0.8969076116034687,0.004870794418293863,2.460798147047936,0.08947358173691577,0.6,0.8944271909999159,1.3779689667935981,0.0074886469559779754,0.14381993757605532,0.004652912916964831
S5,0,LLM,73.0,73.0,71.636,71.636,73.0,400.0,20813.0,2.23606797749979,2.23606797749979,1.8663011546907409,1.8663011546907409,600.6055277800896,0,0.0,0.8422904930266787,0.0015090633575400073,2.9310640631962714,0.0030832083342428413,23.0,2.23606797749979,1.4039425728022306,0.0048535482760831425,0.1276814632730533,0.0030156535263981096
