scenario,layer,mode,avg_final_global,avg_final_survived,avg_last50_global,avg_last50_survived,avg_max_pop,avg_steps_alive,total_moves,std_final_global,std_final_survived,std_last50_global,std_last50_survived,std_moves,n_extinctions,extinction_rate,avg_movement_frequency,std_movement_frequency,avg_harvested_food,std_harvested_food,avg_reproduction_events,std_reproduction_events,avg_action_entropy,std_action_entropy,avg_policy_confidence,std_policy_confidence
S1,0,LLM,0.0,nan,0.0,nan,50.6,24.2,450.6,0.0,nan,0.0,nan,25.57928849675065,5,1.0,0.8946807999999999,0.005978218522268964,2.317901,0.030106684780958473,2.6,1.6733200530681511,1.3891318,0.020830303831197487,0.136884,0.012942788590562696
S2,0,LLM,16.4,16.4,16.52,16.52,52.2,400.0,7836.8,0.8944271909999159,0.8944271909999159,0.7078135347674549,0.7078135347674549,238.6644087416471,0,0.0,0.9422438,0.002186813595165337,2.4255028,0.034967414226676714,8.8,2.6832815729997477,1.3006322000000001,0.006253830242339523,0.1918718,0.0038853891310909913
S3,0,LLM,19.4,19.4,19.444,19.444,51.6,400.0,9204.8,1.140175425099138,1.140175425099138,1.6492665036312357,1.6492665036312357,347.88029550407134,0,0.0,0.9320103548161122,0.001830665995168072,2.3951659764102144,0.03612437281042877,8.0,2.23606797749979,1.3031054267392068,0.0052280823693314285,0.19033503543495817,0.0032482589131983194
S4,0,LLM,26.2,26.2,26.072000000000003,26.072000000000003,51.8,400.0,10671.8,1.3038404810405297,1.3038404810405297,1.2060348253678246,1.2060348253678246,313.75898393512176,0,0.0,0.9210901815246606,0.001922534646618453,2.3614977560301815,0.031533818950775734,8.4,1.51657508881031,1.3021402014391277,0.01036876083012206,0.19093474802040916,0.006442525870337501
S5,0,LLM,70.6,70.6,69.44000000000001,69.44000000000001,76.8,400.0,21085.8,4.277849927241488,4.277849927241488,4.835617850905926,4.835617850905926,857.140420234631,0,0.0,0.7747776268950448,0.0021383366572931954,1.9823134660968544,0.03000052457657539,67.0,9.354143466934854,1.3524212451905995,0.00852547716344112,0.15969354254706522,0.005297038561508521
