name,birth_bonus,survival_bonus,energy_scale,n_steps,gamma,scenario,mode,replica,seed,steps,mean_pop_last50,final_pop,max_pop,extinct,extinction_step,total_moves
survival_0.05,0.2,0.05,3.0,4,0.95,S2,mlp_offline_learn,1,220001,500,100.6923076923077,0,202,1,12,288
survival_0.05,0.2,0.05,3.0,4,0.95,S2,mlp_learn,9,120009,500,31.52,0,183,1,57,817
survival_0.00,0.2,0.0,3.0,4,0.95,S4,mlp_offline_learn,7,240007,500,51.26,67,202,0,500,12121
survival_0.05,0.2,0.05,3.0,4,0.95,S2,mlp_learn,6,120006,500,35.48,0,198,1,450,6415
survival_0.00,0.2,0.0,3.0,4,0.95,S4,mlp_offline_learn,8,240008,500,49.94,38,215,0,500,12207
survival_0.00,0.2,0.0,3.0,4,0.95,S4,mlp_offline_learn,9,240009,500,52.86,22,203,0,500,12182
survival_0.05,0.2,0.05,3.0,4,0.95,S2,mlp_offline_learn,7,220007,500,94.6923076923077,0,202,1,12,246
survival_0.05,0.2,0.05,3.0,4,0.95,S2,mlp_offline_learn,0,220000,500,37.6,45,197,0,500,9437
survival_0.05,0.2,0.05,3.0,4,0.95,S3,rule_learn,0,30000,500,44.62,76,209,0,500,11592
survival_0.05,0.2,0.05,3.0,4,0.95,S3,rule_learn,1,30001,500,41.6,47,212,0,500,14402
survival_0.05,0.2,0.05,3.0,4,0.95,S3,rule_learn,2,30002,500,39.22,35,214,0,500,12085
survival_0.05,0.2,0.05,3.0,4,0.95,S3,rule_learn,3,30003,500,43.78,81,203,0,500,12260
survival_0.05,0.2,0.05,3.0,4,0.95,S3,rule_learn,4,30004,500,44.22,39,214,0,500,9778
survival_0.05,0.2,0.05,3.0,4,0.95,S2,mlp_offline_learn,2,220002,500,38.6,37,187,0,500,9570
survival_0.05,0.2,0.05,3.0,4,0.95,S3,rule_learn,5,30005,500,42.04,43,206,0,500,13548
survival_0.05,0.2,0.05,3.0,4,0.95,S3,rule_learn,6,30006,500,44.04,56,197,0,500,10344
