name,birth_bonus,survival_bonus,energy_scale,n_steps,gamma,scenario,mode,replica,seed,steps,mean_pop_last50,final_pop,max_pop,extinct,extinction_step,total_moves
birth_0.40,0.4,0.02,3.0,4,0.95,S2,mlp_offline_learn,2,220002,500,35.82,0,187,1,352,6501
birth_0.40,0.4,0.02,3.0,4,0.95,S2,mlp_learn,6,120006,500,29.46,17,198,0,500,7412
birth_0.40,0.4,0.02,3.0,4,0.95,S2,mlp_offline_learn,7,220007,500,94.6923076923077,0,202,1,12,246
birth_0.40,0.4,0.02,3.0,4,0.95,S2,mlp_offline_learn,0,220000,500,38.26,36,197,0,500,9386
birth_0.40,0.4,0.02,3.0,4,0.95,S3,rule_learn,0,30000,500,45.22,85,209,0,500,10726
birth_0.40,0.4,0.02,3.0,4,0.95,S3,rule_learn,1,30001,500,39.08,25,212,0,500,13739
birth_0.10,0.1,0.02,3.0,4,0.95,S4,mlp_offline_learn,9,240009,500,50.28,69,203,0,500,12297
birth_0.40,0.4,0.02,3.0,4,0.95,S3,rule_learn,2,30002,500,38.98,44,214,0,500,12800
birth_0.40,0.4,0.02,3.0,4,0.95,S3,rule_learn,3,30003,500,42.44,46,212,0,500,11779
birth_0.40,0.4,0.02,3.0,4,0.95,S3,rule_learn,4,30004,500,47.38,68,214,0,500,9258
birth_0.40,0.4,0.02,3.0,4,0.95,S3,rule_learn,5,30005,500,42.7,16,207,0,500,11936
birth_0.40,0.4,0.02,3.0,4,0.95,S3,rule_learn,6,30006,500,47.6,0,197,1,415,8545
birth_0.40,0.4,0.02,3.0,4,0.95,S3,rule_learn,7,30007,500,47.34,48,206,0,500,10319
birth_0.40,0.4,0.02,3.0,4,0.95,S3,rule_learn,8,30008,500,42.92,0,217,1,331,6448
birth_0.40,0.4,0.02,3.0,4,0.95,S3,rule_learn,9,30009,500,45.06,13,219,0,500,10620
birth_0.40,0.4,0.02,3.0,4,0.95,S3,mlp_learn,0,130000,500,73.42105263157895,0,200,1,18,384
birth_0.40,0.4,0.02,3.0,4,0.95,S2,mlp_offline_learn,3,220003,500,38.88,20,189,0,500,9457
birth_0.40,0.4,0.02,3.0,4,0.95,S3,mlp_learn,2,130002,500,91.5625,0,198,1,15,402
birth_0.40,0.4,0.02,3.0,4,0.95,S3,mlp_learn,3,130003,500,77.47368421052632,0,209,1,18,375
birth_0.40,0.4,0.02,3.0,4,0.95,S3,mlp_learn,5,130005,500,78.0,0,207,1,18,393
birth_0.40,0.4,0.02,3.0,4,0.95,S3,mlp_learn,1,130001,500,38.52,0,214,1,100,1249
birth_0.40,0.4,0.02,3.0,4,0.95,S3,mlp_learn,6,130006,500,87.375,0,205,1,15,347
birth_0.40,0.4,0.02,3.0,4,0.95,S3,mlp_learn,7,130007,500,100.14285714285714,0,193,1,13,375
birth_0.40,0.4,0.02,3.0,4,0.95,S3,mlp_learn,8,130008,500,68.9,0,195,1,19,365
birth_0.40,0.4,0.02,3.0,4,0.95,S3,mlp_learn,9,130009,500,72.75,0,202,1,19,367
birth_0.40,0.4,0.02,3.0,4,0.95,S2,mlp_offline_learn,4,220004,500,34.06,42,195,0,500,9173
birth_0.40,0.4,0.02,3.0,4,0.95,S2,mlp_offline_learn,5,220005,500,37.16,61,192,0,500,9441
birth_0.40,0.4,0.02,3.0,4,0.95,S2,mlp_offline_learn,6,220006,500,38.48,6,199,0,500,9542
birth_0.40,0.4,0.02,3.0,4,0.95,S2,mlp_offline_learn,8,220008,500,35.62,53,198,0,500,9142
birth_0.40,0.4,0.02,3.0,4,0.95,S2,mlp_offline_learn,9,220009,500,37.88,39,188,0,500,9181
birth_0.40,0.4,0.02,3.0,4,0.95,S3,mlp_learn,4,130004,500,34.38,0,194,1,467,8514
birth_0.40,0.4,0.02,3.0,4,0.95,S3,mlp_offline_learn,1,230001,500,44.2,30,185,0,500,11204
birth_0.40,0.4,0.02,3.0,4,0.95,S3,mlp_offline_learn,0,230000,500,45.52,49,180,0,500,11327
birth_0.40,0.4,0.02,3.0,4,0.95,S3,mlp_offline_learn,2,230002,500,43.34,38,193,0,500,11100
birth_0.40,0.4,0.02,3.0,4,0.95,S4,rule_learn,0,40000,500,51.48,13,213,0,500,13479
birth_0.40,0.4,0.02,3.0,4,0.95,S4,rule_learn,1,40001,500,54.08,38,218,0,500,11993
birth_0.40,0.4,0.02,3.0,4,0.95,S4,rule_learn,2,40002,500,52.1,54,215,0,500,11731
birth_0.40,0.4,0.02,3.0,4,0.95,S4,rule_learn,3,40003,500,50.44,40,215,0,500,12459
birth_0.40,0.4,0.02,3.0,4,0.95,S4,rule_learn,4,40004,500,51.38,57,219,0,500,12065
birth_0.40,0.4,0.02,3.0,4,0.95,S4,rule_learn,5,40005,500,49.64,56,220,0,500,12157
birth_0.40,0.4,0.02,3.0,4,0.95,S4,rule_learn,6,40006,500,51.88,21,216,0,500,10813
