scenario,layer,mode,avg_final_global,avg_final_survived,avg_last50_global,avg_last50_survived,avg_max_pop,avg_steps_alive,total_moves,std_final_global,std_final_survived,std_last50_global,std_last50_survived,std_moves,n_extinctions,extinction_rate,avg_movement_frequency,std_movement_frequency,avg_harvested_food,std_harvested_food,avg_reproduction_events,std_reproduction_events,avg_action_entropy,std_action_entropy,avg_policy_confidence,std_policy_confidence,avg_reward,std_reward
S1,0,Random,0.0,nan,0.0,nan,107.86666666666666,12.823333333333334,179.50333333333333,0.0,nan,0.0,nan,14.930496351200102,300,1.0,0.4990862313871592,0.0306342703800592,2.3317696781084565,0.04190969041870829,173.96,15.368333859554493,1.603706121963735,0.004248898620259975,0.003561361656813838,0.002639989146169656,0.04924555896347132,0.021174530172322018
S1,0,Rule-Fixed/Evo,0.0,nan,0.0,nan,137.06333333333333,10.266666666666667,206.03,0.0,nan,0.0,nan,11.734340593483708,300,1.0,0.47034443252054264,0.027223138050938518,2.376436141220725,0.03271415293581426,205.83666666666667,9.79983561848804,1.5411022967521433,0.023159139574627684,0.04245930529783951,0.014389582472058208,nan,nan
S1,0,Rule-Fixed/Fix,0.0,nan,0.0,nan,137.84333333333333,10.236666666666666,206.46666666666667,0.0,nan,0.0,nan,11.66027855049524,300,1.0,0.471676401219994,0.026297350708510445,2.3790733654224927,0.03183693919377192,206.98,9.938923853107012,1.542247100525142,0.021792375914488446,0.04174799872045981,0.013540364462727139,nan,nan
S1,0,Rule-Fixed/Learn,0.0,nan,0.0,nan,137.64333333333335,10.22,206.72666666666666,0.0,nan,0.0,nan,11.91715924639349,300,1.0,0.4723033736981855,0.02689765710650394,2.3799075435752988,0.03208396215735214,207.19,9.93829961970878,1.5430891658896106,0.021712578833128222,0.04122479409233267,0.013490783748402136,-0.056652023140389765,0.011305712957239722
S1,0,Rule-Random/Evo,0.0,nan,0.0,nan,139.25666666666666,11.343333333333334,186.96333333333334,0.0,nan,0.0,nan,17.17864006464007,300,1.0,0.4281923569898106,0.03801824934908533,2.3692982928467026,0.03678230643032058,218.48666666666668,17.06244155824866,1.470786081335295,0.04723742387667592,0.08614922640234646,0.029350261673179084,0.10721740530612399,0.019875409352483595
S1,0,Rule-Random/Fix,0.0,nan,0.0,nan,138.9,11.393333333333333,186.86666666666667,0.0,nan,0.0,nan,16.6665774802519,300,1.0,0.4293946959646013,0.03863928099353359,2.3686673908112175,0.036664558148944676,218.40333333333334,16.926774882276693,1.4706910179108124,0.04689267405855622,0.08620829262897639,0.029136056567498233,nan,nan
S1,0,Rule-Random/Learn,0.0,nan,0.0,nan,138.98,11.36,186.76333333333332,0.0,nan,0.0,nan,16.515139164646712,300,1.0,0.4290619816138146,0.038184605687963134,2.36815764281297,0.03713232928958379,218.78333333333333,16.915777664719695,1.470414239277661,0.0469111050049759,0.08638026486289307,0.029147508358385782,-0.0549611916678739,0.01207416085667805
S1,0,Rule-Random/Random,0.0,nan,0.0,nan,130.17333333333335,11.883333333333333,201.05333333333334,0.0,nan,0.0,nan,14.996002440189724,300,1.0,0.4554577718406968,0.03518917288148737,2.343997727045839,0.031789837499930085,193.81666666666666,14.363288938097936,1.4969811954363361,0.038354770263181424,0.06987328689659462,0.023831158671522776,0.08786936282521535,0.018338107980099598
S1,1,MLP-EvoTop5/Evo,0.0,nan,0.0,nan,150.02666666666667,11.84,186.25,0.0,nan,0.0,nan,18.722605405692274,300,1.0,0.43047228875582494,0.04342812478967545,2.4207539136643033,0.035366947212824795,265.14666666666665,16.504742063748175,1.483863606284202,0.04624020020557366,0.07802370329401563,0.02873065176875346,nan,nan
S1,1,MLP-EvoTop5/Fix,0.0,nan,0.0,nan,150.09333333333333,11.77,186.57333333333332,0.0,nan,0.0,nan,18.332436179528273,300,1.0,0.4312393820317602,0.041725555615565485,2.425133000562536,0.03505837988596375,265.08666666666664,17.001843955342853,1.4855035159033374,0.043038602440231714,0.07700477015812651,0.026741387230738524,nan,nan
S1,1,MLP-EvoTop5/Learn,0.0,nan,0.0,nan,140.63666666666666,10.39,192.45333333333335,0.0,nan,0.0,nan,11.726302748210873,300,1.0,0.4419207884075814,0.0293447604883939,2.3748436652623446,0.03586246244998273,222.51666666666668,11.104387133061053,1.4980009123650633,0.03110739396916009,0.06923970114541478,0.01932811059614815,-0.05673594670858067,0.013029592889078586
S1,1,MLP-Random/Evo,0.0,nan,0.0,nan,119.86,12.376666666666667,207.54,0.0,nan,0.0,nan,19.830090982171615,300,1.0,0.5688372569244031,0.048253500112992356,2.4043017795091477,0.049720080599399946,206.03,25.25381060023964,1.5506971939414476,0.03567476135769218,0.03649766048061693,0.022165975513611443,0.06469680573490269,0.026612619486822985
S1,1,MLP-Random/Fix,0.0,nan,0.0,nan,117.06,12.49,208.62333333333333,0.0,nan,0.0,nan,20.752437634685084,300,1.0,0.5738697927237001,0.04845537973606427,2.3992681665013698,0.05050026702100236,202.13,26.93109813622056,1.5526968649072008,0.03593089583720208,0.035255195051969765,0.022325120813676186,0.05884212707713985,0.0270605931076393
S1,1,MLP-Random/Learn,0.0,nan,0.0,nan,111.37333333333333,12.333333333333334,217.76666666666668,0.0,nan,0.0,nan,16.662262517323676,300,1.0,0.5958537309719045,0.03144589717413968,2.386279511762235,0.04162717260000427,179.08,16.412948636462122,1.569806483180668,0.017064841431435787,0.024624391501685317,0.01060298213407131,-0.14502761512633341,0.013573463198444565
S1,1,MLP-Random/Random,0.0,nan,0.0,nan,104.19,13.45,216.48666666666668,0.0,nan,0.0,nan,19.613228989473765,300,1.0,0.6061322031934355,0.0365953570779665,2.324882326361099,0.04399261120357234,149.00666666666666,19.839151409550237,1.5676516593599512,0.020615062222359634,0.025963258819317738,0.01280885833687215,0.01786263334633931,0.021171257748250922
S1,2,MLP-EvoTop5/Evo,0.0,nan,0.0,nan,152.35333333333332,11.52,191.97666666666666,0.0,nan,0.0,nan,18.900446515461876,300,1.0,0.4442050603249866,0.04168866643471367,2.433747826372678,0.03498702148969173,264.53333333333336,16.19557174154943,1.507401800422571,0.03717748939374499,0.06339860097940075,0.023099672939553208,nan,nan
S1,2,MLP-EvoTop5/Fix,0.0,nan,0.0,nan,152.47666666666666,11.566666666666666,189.38666666666666,0.0,nan,0.0,nan,19.30386713875204,300,1.0,0.44053611530220405,0.04304137207342261,2.436354742724163,0.035437214431445756,266.43,16.52357492881288,1.5023012784614722,0.041838236459614125,0.06656773345832002,0.02599555791272391,nan,nan
S1,2,MLP-EvoTop5/Learn,0.0,nan,0.0,nan,140.96333333333334,10.473333333333333,192.21333333333334,0.0,nan,0.0,nan,12.00645682847925,300,1.0,0.44228600860164247,0.027810834244253645,2.384007179307178,0.03288875988622766,224.64333333333335,11.595010555759872,1.4995743132739159,0.027798789628045353,0.0682620921946765,0.017272359134377975,-0.053619820719291174,0.011899248050875938
S1,2,MLP-Random/Evo,0.0,nan,0.0,nan,120.48666666666666,12.06,207.88,0.0,nan,0.0,nan,20.990815000406034,300,1.0,0.5706984872730584,0.04778036965632757,2.406457854385626,0.05160513986624421,211.52,28.74655017836385,1.5526843079785968,0.03578444836069192,0.0352629971103823,0.02223412788044232,0.06196520361823266,0.033345191987537694
S1,2,MLP-Random/Fix,0.0,nan,0.0,nan,121.01333333333334,12.553333333333333,211.56666666666666,0.0,nan,0.0,nan,18.990550956752823,300,1.0,0.5798684676876822,0.04562543108725045,2.4125731656991016,0.04887945740117931,212.97333333333333,26.021716340264714,1.5584684669991018,0.031138015361944014,0.03166909704389455,0.019347136737229674,0.06325474760105591,0.03016597548134895
S1,2,MLP-Random/Learn,0.0,nan,0.0,nan,111.43,12.28,220.11333333333334,0.0,nan,0.0,nan,15.480719118859184,300,1.0,0.5984622345630999,0.02855098754856294,2.3882977559047927,0.04181230679134217,179.38,16.506883129029887,1.572973436298046,0.015298857582804776,0.02265665289374559,0.009505714675048824,-0.14413357973963992,0.014263175493529517
S1,2,MLP-Random/Random,0.0,nan,0.0,nan,102.48666666666666,13.51,217.43666666666667,0.0,nan,0.0,nan,20.368330446376753,300,1.0,0.6146439422135127,0.041087653238071196,2.313433008924941,0.046741227351950694,141.69,20.070791936623,1.5721631482008323,0.021759197095877945,0.023160113195602624,0.01351974930363702,0.009175050739663581,0.02579384935031857
S1,3,MLP-EvoTop5/Evo,0.0,nan,0.0,nan,137.74333333333334,12.276666666666667,227.29,0.0,nan,0.0,nan,19.981912389520552,300,1.0,0.5120717707137064,0.04408099100927763,2.4106232694605296,0.03274727586823806,238.26333333333332,18.916485764215864,1.564913787985768,0.02675912354984933,0.02766439395042858,0.0166263782797182,nan,nan
S1,3,MLP-EvoTop5/Fix,0.0,nan,0.0,nan,140.12333333333333,12.343333333333334,220.24333333333334,0.0,nan,0.0,nan,19.642731783757856,300,1.0,0.49988977842083443,0.04285120038628417,2.417127251968762,0.033034061751760574,243.20666666666668,17.983008206900582,1.5575685331738323,0.028207102338204885,0.03222825736832637,0.01752605808542481,nan,nan
S1,3,MLP-EvoTop5/Learn,0.0,nan,0.0,nan,138.86,10.393333333333333,205.34333333333333,0.0,nan,0.0,nan,12.262681875436115,300,1.0,0.46879284009895683,0.029857254656841116,2.3796091070065115,0.03223615278827206,218.81,10.97003672216364,1.529920668940746,0.026156079796032232,0.04940684128230399,0.016251686128403674,-0.05675273385442389,0.011160691952560082
S1,3,MLP-Random/Evo,0.0,nan,0.0,nan,122.40333333333334,12.236666666666666,209.65333333333334,0.0,nan,0.0,nan,21.832284604664853,300,1.0,0.5759173070226821,0.050972131844859436,2.426842693198388,0.050822175452062475,222.79,26.305623977446523,1.55472351304391,0.036223563679115944,0.03399596776457226,0.022506965568079438,0.07123993400569652,0.03030591041445953
