scenario,layer,mode,avg_final_global,avg_final_survived,avg_last50_global,avg_last50_survived,avg_max_pop,avg_steps_alive,total_moves,std_final_global,std_final_survived,std_last50_global,std_last50_survived,std_moves,n_extinctions,extinction_rate,avg_movement_frequency,std_movement_frequency,avg_harvested_food,std_harvested_food,avg_reproduction_events,std_reproduction_events,avg_action_entropy,std_action_entropy,avg_policy_confidence,std_policy_confidence
S1,0,LLM,0.0,nan,0.0,nan,52.6,20.6,419.2,0.0,nan,0.0,nan,18.673510650116118,5,1.0,0.8827496,0.015292154795842195,2.3413136,0.01342868730740271,9.2,1.6431676725154984,1.3810734,0.029028723048043305,0.1418908,0.018036741853782796
S2,0,LLM,32.6,32.6,30.907999999999998,30.907999999999998,57.2,400.0,10727.6,4.03732584763727,4.03732584763727,3.364181921359189,3.364181921359189,156.3179452270276,0,0.0,0.9231815999999998,0.00416703627294026,2.3705768,0.015691914373332397,126.2,9.23038460737146,1.3690948,0.0019037294187988156,0.1493336,0.0011829392630224081
S3,0,LLM,39.2,39.2,35.6,35.6,61.0,400.0,13222.2,4.868264577855234,4.868264577855234,2.939863942429988,2.939863942429988,405.8955530675348,0,0.0,0.906509,0.0034995021074432624,2.2795284,0.01626530443305641,184.0,14.966629547095765,1.3729821999999998,0.002461031836445878,0.14691840000000003,0.0015290051667669427
S4,0,LLM,38.8,38.8,42.668,42.668,62.8,400.0,15370.0,5.890670590009257,5.890670590009257,4.8592098123048775,4.8592098123048775,149.54597955144098,0,0.0,0.8942038,0.004735624425564172,2.1640919999999997,0.024406515636198504,216.2,23.34951819631403,1.3700476,0.005528215381115285,0.1487416,0.0034347800220683664
S5,0,LLM,98.8,98.8,103.26399999999998,103.26399999999998,130.8,400.0,27163.8,16.9617216107328,16.9617216107328,7.706924159481527,7.706924159481527,107.93840836328837,0,0.0,0.6959869397314783,0.004199162019832934,1.4231573655956509,0.03185930492520207,788.8,40.44996909763962,1.4531457260274252,0.006479128232296404,0.09710986695376678,0.004025787262748283
