in_0,in_1,in_2,in_3,in_4,in_5,in_6,in_7,in_8,in_9,move_target,repro_target,episode_id,agent_id
0.0,0.0,3.4285313614193855,1.4563326522137903,1.0,1.0,1.0,1.0,0.0,3.9405923169054273,4,1,0,0
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.2365923169054276,4,0,0,0
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.180592316905428,4,0,0,0
2.927764071699624,0.0,0.1767295060172076,6.374920365846008,0.0,1.0,1.0,0.0,4.833283640788817,5.125895495459975,3,1,0,1
5.234562770332814,0.0,6.132462739880812,-1.0,0.0,1.0,0.0,1.0,3.648920365846008,4.42435819818399,2,0,0,1
0.0,0.0,0.0,-1.0,1.0,1.0,1.0,1.0,0.0,4.79790604960641,4,1,0,1
0.0,0.0,0.0,-1.0,1.0,1.0,1.0,1.0,0.0,4.44590604960641,4,1,0,1
0.0,0.0,0.0,-1.0,1.0,1.0,1.0,1.0,0.0,3.7419060496064094,4,1,0,1
0.0,0.0,0.0,-1.0,1.0,1.0,1.0,1.0,0.0,3.3899060496064095,4,0,0,1
0.0,0.0,0.0,-1.0,1.0,1.0,1.0,1.0,0.0,2.6859060496064098,4,1,0,1
0.9343357634978443,5.543357445695578,1.5649350747298918,-1.0,0.0,0.0,0.0,1.0,0.8982309581778294,6.932020396688639,1,0,0,2
2.5586350375155575,5.0,3.441785390112652,-1.0,0.0,1.0,0.0,1.0,2.8173574456955777,7.919616317350911,4,0,0,2
0.0,0.0,0.0,-1.0,1.0,1.0,1.0,1.0,0.0,9.68097376304649,4,1,0,2
0.0,0.0,0.0,-1.0,1.0,1.0,1.0,1.0,0.0,8.97697376304649,4,1,0,2
0.0,0.0,0.0,-1.0,1.0,1.0,1.0,1.0,0.0,3.2564868815232444,4,1,0,2
0.0,0.0,0.0,-1.0,1.0,1.0,0.0,1.0,0.0,2.5524868815232447,4,1,0,2
0.0,0.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,0.9242434407616223,4,0,0,2
0.0,0.34526467573689335,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.438315108350951,4,1,0,3
0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0303151083509507,4,1,0,3
6.546615068267333,1.9520646811476707,1.1248439322698305,0.0,0.0,0.0,0.0,1.0,1.498977002358239,6.749414077953666,4,1,0,4
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.057684041335073,4,0,0,4
0.0,0.0,0.0,0.274,1.0,1.0,1.0,0.0,0.0,1.3536840413350735,4,0,0,4
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0016840413350736,4,0,0,4
0.0,0.274,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.29768404133507365,4,0,0,4
0.0,0.0,4.199686864867674,0.9011843458631068,1.0,1.0,0.0,0.0,0.0,3.14367951418783,2,0,0,5
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.954630476217938,4,0,0,5
0.548,0.0,0.0,0.548,0.0,1.0,1.0,0.0,0.0,1.4346304762179383,3,0,0,5
0.274,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3557635047794805,0,0,0,5
0.548,0.3451527009558961,0.4865901446294821,0.0,0.0,0.0,0.0,0.0,0.0,0.20661080382358443,0,0,0,5
2.812833516353293,1.4736868648676742,3.430800969402596,0.4917856864853197,1.0,1.0,1.0,0.0,0.8087874130656765,7.953014212247737,4,1,0,6
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.025294519189545,4,1,0,6
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.673294519189545,4,0,0,6
5.010578889219858,3.7191635219966876,6.016036884466256,1.179151235314405,0.0,0.0,0.0,0.0,1.9932223275000336,6.943637647131245,2,0,0,7
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,13.013128094163998,4,0,0,7
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,10.901128094163996,4,0,0,7
0.274,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.218564047081997,4,1,0,7
0.274,0.0,0.5866515051071819,0.6802564047081998,0.0,1.0,0.0,0.0,0.0,3.514564047081997,3,0,0,7
0.0,1.0122760990132478,0.6566038923315438,0.0,1.0,0.0,0.0,1.0,0.0,1.7832077846630878,1,0,0,7
0.6306415569326176,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.086842326743718,0,0,0,7
0.274,0.548,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.01965944671555861,1,1,0,7
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.897881900426363,4,1,0,8
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.4898819004263624,4,0,0,8
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.7858819004263626,4,1,0,8
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.7250397138644824,4,1,0,9
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.3730397138644825,4,1,0,9
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.6690397138644828,4,1,0,9
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.317039713864483,4,1,0,9
0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.261039713864483,4,0,0,9
0.7299308314509982,0.0,-1.0,0.0,1.0,1.0,1.0,1.0,4.256927867731383,4.50926221504125,4,1,0,11
1.6000548160950139,0.0,-1.0,0.0,0.0,1.0,1.0,1.0,0.004654089235508252,7.2355239088131995,0,1,0,11
0.0,0.0,-1.0,0.0,1.0,0.0,1.0,1.0,0.0,6.184177998048707,4,1,0,11
0.0,0.0,-1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.05004449951217682,4,0,0,11
4.84612499559505,3.594169477437047,1.498977002358239,1.9906407818680067,0.0,1.0,1.0,0.0,0.0,4.757951107488837,0,1,0,13
