scenario,layer,mode,avg_final_global,avg_final_survived,avg_last50_global,avg_last50_survived,avg_max_pop,avg_steps_alive,total_moves,std_final_global,std_final_survived,std_last50_global,std_last50_survived,std_moves,n_extinctions,extinction_rate,avg_movement_frequency,std_movement_frequency,avg_harvested_food,std_harvested_food,avg_reproduction_events,std_reproduction_events,avg_action_entropy,std_action_entropy,avg_policy_confidence,std_policy_confidence
S1,0,LLM,2.0,10.0,1.1640000000000001,5.82,54.6,96.8,708.2,4.47213595499958,nan,2.6027831258097556,nan,607.456747431453,4,0.8,0.8825405594668378,0.0362261147677315,2.385816913220418,0.157069921599712,19.4,10.57355191030904,1.421267032197688,0.02430588733963713,0.11691714155771582,0.015102096919586762
S2,0,LLM,33.8,33.8,33.216,33.216,71.8,400.0,11521.4,10.639548862616309,10.639548862616309,6.870391546338536,6.870391546338536,321.65711557495507,0,0.0,0.8898438932547867,0.006333082187185509,1.9925160743223924,0.04723940855717196,376.4,27.051802158081816,1.398316957801319,0.005630807092872948,0.13117682453092191,0.003498617156568008
S3,0,LLM,43.0,43.0,35.352000000000004,35.352000000000004,86.0,400.0,13393.6,12.708265027138834,12.708265027138834,6.178876920606204,6.178876920606204,208.65473874321665,0,0.0,0.8773016516401088,0.005482281700387656,1.8785228631168096,0.02771703218628524,414.6,23.828554299411454,1.396344154908026,0.0041891821470270265,0.13240259588752518,0.002602885215181347
S4,0,LLM,45.4,45.4,41.612,41.612,90.0,400.0,15410.8,6.6932802122726045,6.6932802122726045,5.74986260705419,5.74986260705419,246.52220995277483,0,0.0,0.8723328476281831,0.004256819909952644,1.7528069337233305,0.03913456518948784,415.6,19.243180610283737,1.3969865792653078,0.004088756889000518,0.13200343519153407,0.0025404874940572813
S5,0,LLM,97.6,97.6,98.408,98.408,160.6,400.0,27381.0,4.61519230368573,4.61519230368573,2.958803812353902,2.958803812353902,150.63698085131685,0,0.0,0.6875555612969299,0.005091736567990164,0.9685619312561176,0.008661695031840843,904.6,32.315630892804805,1.4801111049249918,0.005948221581835447,0.08035526348047535,0.0036958378672957946
