scenario,layer,mode,avg_final_global,avg_final_survived,avg_last50_global,avg_last50_survived,avg_max_pop,avg_steps_alive,total_moves,std_final_global,std_final_survived,std_last50_global,std_last50_survived,std_moves,n_extinctions,extinction_rate,avg_movement_frequency,std_movement_frequency,avg_harvested_food,std_harvested_food,avg_reproduction_events,std_reproduction_events,avg_action_entropy,std_action_entropy,avg_policy_confidence,std_policy_confidence
S1,0,LLM,0.0,nan,0.0,nan,49.8,27.4,416.4,0.0,nan,0.0,nan,26.06338427756457,5,1.0,0.8178391053103544,0.017203210335289116,2.323345650133617,0.020656123114700463,0.0,0.0,1.553698646902615,0.016291829065389767,0.034632610808184576,0.010122886055829
S2,0,LLM,28.6,28.6,27.404000000000003,27.404000000000003,50.6,400.0,11465.2,3.4351128074635335,3.4351128074635335,2.9082434561088593,2.9082434561088593,116.15808194008716,0,0.0,0.8919862737386491,0.002034024487672063,2.532109402315887,0.021012970414865766,23.0,4.301162633521313,1.451284320050212,0.002500795387827769,0.09826636420397153,0.001553839184001655
S3,0,LLM,30.2,30.2,33.532,33.532,50.8,400.0,13589.6,1.3038404810405297,1.3038404810405297,5.11919134238993,5.11919134238993,232.95986778842402,0,0.0,0.8794109495361966,0.004597713902972337,2.4646052440405706,0.027615970285067976,16.0,3.0,1.443805858502961,0.004476634285410213,0.10291288582415666,0.00278145340386373
S4,0,LLM,46.4,46.4,46.791999999999994,46.791999999999994,51.4,400.0,15467.0,3.361547262794322,3.361547262794322,3.311845407020079,3.311845407020079,129.91150834317952,0,0.0,0.8672464950985426,0.002385171673165695,2.4211243232759183,0.02617892870614524,8.8,7.694153624668537,1.433646194641846,0.006221857829044574,0.10922552140103443,0.0038658212440747805
S5,0,LLM,101.6,101.6,105.02000000000001,105.02000000000001,111.2,400.0,26627.8,2.966479394838265,2.966479394838265,2.282892901561524,2.282892901561524,126.58870407741759,0,0.0,0.7150744561877782,0.006153716042260078,2.169701060190106,0.08664678951563491,61.2,2.5884358211089573,1.453789720886939,0.008432272193942263,0.09670974356962722,0.005239391350101457
