scenario,alpha,beta,replica,seed,extinct,pop_final,n_steps_alive,reproduction_events,movement_frequency,avg_harvested_food
S2,0.0,0.0,72,3000072,1,0,12,0,0.0,0.8724128031343895
S2,0.0,0.0,73,3000073,1,0,12,0,0.0,0.7985615021593159
S2,0.0,0.0,74,3000074,1,0,12,0,0.0,0.8421145357877063
S2,0.0,0.0,75,3000075,1,0,13,0,0.0,0.803077351147627
S2,0.0,0.0,76,3000076,1,0,12,0,0.0,0.867524706855017
S2,0.0,0.0,77,3000077,1,0,12,0,0.0,0.8322850084596389
S2,0.0,0.0,78,3000078,1,0,12,0,0.0,0.7989325055185872
S2,0.0,0.0,79,3000079,1,0,13,0,0.0,0.8444343219232614
S2,0.0,0.0,80,3000080,1,0,12,0,0.0,0.8627835149147829
S2,0.0,0.0,81,3000081,1,0,13,0,0.0,0.8590482182163007
S2,0.0,0.0,82,3000082,1,0,12,0,0.0,0.8540193436631267
S2,0.0,0.0,83,3000083,1,0,13,0,0.0,0.8349036840580591
S2,0.0,0.0,84,3000084,1,0,13,0,0.0,0.7878636991943724
S2,0.0,0.0,85,3000085,1,0,12,0,0.0,0.8732841189942562
S2,0.0,0.0,86,3000086,1,0,13,0,0.0,0.7964550390861396
S2,0.0,0.0,87,3000087,1,0,12,0,0.0,0.8081283411823494
S2,0.0,0.0,88,3000088,1,0,13,0,0.0,0.8051495009705342
S2,0.0,0.0,89,3000089,1,0,11,0,0.0,0.8120419919292117
S2,0.0,0.0,90,3000090,1,0,12,0,0.0,0.8630015938752761
S2,0.0,0.0,91,3000091,1,0,11,0,0.0,0.8085549093106191
S2,0.0,0.0,92,3000092,1,0,13,0,0.0,0.8452634537585075
S2,0.0,0.0,93,3000093,1,0,12,0,0.0,0.8758681185132607
S2,0.0,0.0,94,3000094,1,0,12,0,0.0,0.8199811271908332
S2,0.0,0.0,95,3000095,1,0,13,0,0.0,0.8293224188814526
S2,0.0,0.0,96,3000096,1,0,12,0,0.0,0.7896456113151765
S2,0.0,0.0,97,3000097,1,0,12,0,0.0,0.8214064221551153
S2,0.0,0.0,98,3000098,1,0,11,0,0.0,0.8634982130673313
S2,0.0,0.0,99,3000099,1,0,12,0,0.0,0.8475262041165127
S2,0.0,0.0,100,3000100,1,0,12,0,0.0,0.8382605542608111
S2,0.0,0.0,101,3000101,1,0,12,0,0.0,0.8516170705725092
S2,0.0,0.0,102,3000102,1,0,13,0,0.0,0.833549959396106
S2,0.0,0.0,103,3000103,1,0,12,0,0.0,0.8463343843982414
S2,0.0,0.0,104,3000104,1,0,12,0,0.0,0.8646481494036058
S2,0.0,0.0,105,3000105,1,0,12,0,0.0,0.808041770356011
S2,0.0,0.0,106,3000106,1,0,13,0,0.0,0.8463346315212072
S2,0.0,0.0,107,3000107,1,0,13,0,0.0,0.8361025831759823
S2,0.0,0.0,108,3000108,1,0,12,0,0.0,0.8323505772296663
S2,0.0,0.0,109,3000109,1,0,12,0,0.0,0.8460096283077911
S2,0.0,0.0,110,3000110,1,0,12,0,0.0,0.8717128183327546
S2,0.0,0.0,111,3000111,1,0,12,0,0.0,0.8560700437907549
S2,0.0,0.0,112,3000112,1,0,12,0,0.0,0.829765768583217
S2,0.0,0.0,113,3000113,1,0,12,0,0.0,0.8428805287155042
S2,0.0,0.0,114,3000114,1,0,11,0,0.0,0.8410821817600883
S2,0.0,0.0,115,3000115,1,0,12,0,0.0,0.8187419571705554
S2,0.0,0.0,116,3000116,1,0,12,0,0.0,0.8101502653578776
S2,0.0,0.0,117,3000117,1,0,12,0,0.0,0.850536615885212
S2,0.0,0.0,118,3000118,1,0,12,0,0.0,0.8570060073591427
S2,0.0,0.0,119,3000119,1,0,13,0,0.0,0.8778032200509456
S2,0.0,0.0,120,3000120,1,0,11,0,0.0,0.8760499076773935
S2,0.0,0.0,121,3000121,1,0,12,0,0.0,0.8477348654596301
S2,0.0,0.0,122,3000122,1,0,11,0,0.0,0.826236643890477
S2,0.0,0.0,123,3000123,1,0,12,0,0.0,0.8527687533889075
S2,0.0,0.0,124,3000124,1,0,13,0,0.0,0.8309710167009553
S2,0.0,0.0,125,3000125,1,0,12,0,0.0,0.8351516029004823
S2,0.0,0.0,126,3000126,1,0,12,0,0.0,0.8408753153489866
S2,0.0,0.0,127,3000127,1,0,12,0,0.0,0.7678235896075559
S2,0.0,0.0,128,3000128,1,0,12,0,0.0,0.856984836385149
S2,0.0,0.0,129,3000129,1,0,13,0,0.0,0.8019321856401216
S2,0.0,0.0,130,3000130,1,0,11,0,0.0,0.8326903924250895
S2,0.0,0.0,131,3000131,1,0,12,0,0.0,0.882964400041379
S2,0.0,0.0,132,3000132,1,0,12,0,0.0,0.8722654820398421
S2,0.0,0.0,133,3000133,1,0,11,0,0.0,0.8508316427585839
S2,0.0,0.0,134,3000134,1,0,12,0,0.0,0.8100675900630894
S2,0.0,0.0,135,3000135,1,0,12,0,0.0,0.8258118818268405
S2,0.0,0.0,136,3000136,1,0,12,0,0.0,0.861564962027383
S2,0.0,0.0,137,3000137,1,0,11,0,0.0,0.8256493062277994
S2,0.0,0.0,138,3000138,1,0,12,0,0.0,0.8144511189117214
S2,0.0,0.0,139,3000139,1,0,12,0,0.0,0.8108504610908787
S2,0.0,0.0,140,3000140,1,0,12,0,0.0,0.8434419083609889
S2,0.0,0.0,141,3000141,1,0,11,0,0.0,0.7766258887687135
S2,0.0,0.0,142,3000142,1,0,13,0,0.0,0.767346610608387
S2,0.0,0.0,143,3000143,1,0,12,0,0.0,0.8235047914886695
S2,0.0,0.0,144,3000144,1,0,12,0,0.0,0.8745582426247089
