in_0,in_1,in_2,in_3,in_4,in_5,in_6,in_7,in_8,in_9,move_target,repro_target,episode_id,agent_id
1.6317471688540683,7.940501150300843,5.445002542289095,4.653078084219109,0.0,0.0,0.0,0.0,1.0982368865174514,5.7061724630698425,1,0,0,17
2.41247137913142,4.610800027057645,0.0,6.523449377165082,0.0,0.0,1.0,0.0,5.0,6.359937970455874,3,0,0,17
2.58547137913142,1.7838000270576453,0.0,3.6964493771650817,0.0,1.0,0.0,1.0,2.173,8.154937970455874,4,0,0,17
2.75847137913142,2.63104564143776,0.0,0.8694493771650817,0.0,0.0,1.0,1.0,0.0,9.295937970455874,0,0,0,17
0.0,0.0,3.1370025422890953,0.0,1.0,1.0,1.0,1.0,0.0,9.163221755496119,4,0,0,17
0.0,0.0,0.3100025422890953,0.0,1.0,1.0,1.0,0.0,0.0,8.131221755496119,4,0,0,17
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.099221755496119,4,0,0,17
0.0,0.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.067221755496119,4,0,0,17
0.173,0.0,0.0,0.173,0.0,0.0,0.0,0.0,0.0,5.035221755496119,4,0,0,17
0.0,0.173,0.173,0.0,0.0,0.0,0.0,0.0,0.0,4.003221755496119,4,0,0,17
0.173,0.346,0.346,0.173,0.0,0.0,0.0,0.0,0.0,2.971221755496119,4,0,0,17
0.346,0.5189999999999999,0.5189999999999999,0.346,0.0,0.0,0.0,0.0,0.0,1.9392217554961189,1,0,0,17
0.5608443510992238,0.9461791375434914,0.865,1.038,0.0,0.0,0.0,0.0,0.0,1.038377404396895,3,0,0,17
0.692,1.211,0.38067548087937897,1.038,0.0,0.0,0.0,0.0,0.0,0.8367019235175159,1,0,0,17
0.3403403847035032,1.038,1.2921791375434915,1.3840000000000001,0.0,0.0,0.0,0.0,0.0,0.8483615388140128,3,1,0,17
1.3840000000000001,1.211,0.0,1.3840000000000001,0.0,0.0,0.0,0.0,0.0,0.6913446155256052,3,1,0,17
