scenario,layer,mode,avg_final_global,avg_final_survived,avg_last50_global,avg_last50_survived,avg_max_pop,avg_steps_alive,total_moves,std_final_global,std_final_survived,std_last50_global,std_last50_survived,std_moves,n_extinctions,extinction_rate,avg_movement_frequency,std_movement_frequency,avg_harvested_food,std_harvested_food,avg_reproduction_events,std_reproduction_events,avg_action_entropy,std_action_entropy,avg_policy_confidence,std_policy_confidence
S1,0,LLM,0.0,nan,0.0,nan,49.6,22.6,415.6,0.0,nan,0.0,nan,15.91540134586621,5,1.0,0.8337742,0.024552296525987154,2.3321696,0.04634309371740307,0.4,0.8944271909999161,1.5327436,0.02256046536089181,0.0476528,0.014017843742887136
S2,0,LLM,30.2,30.2,33.096,33.096,50.2,400.0,11483.0,6.260990336999411,6.260990336999411,6.939371729486756,6.939371729486756,398.8746670321393,0,0.0,0.8919172,0.003014190554692925,2.590052,0.05098743284869317,19.8,5.540758070878027,1.4376078,0.007475224525056095,0.1067642,0.00464455732013289
S3,0,LLM,35.0,35.0,40.736000000000004,40.736000000000004,51.6,400.0,13730.2,3.8078865529319543,3.8078865529319543,3.893569056790954,3.893569056790954,127.31339285401202,0,0.0,0.8775252,0.002892403446962392,2.4879038,0.0486656100413835,23.0,3.0,1.4366422,0.00438700030772732,0.10736400000000001,0.002725741000168578
S4,0,LLM,46.6,46.6,48.312,48.312,52.2,400.0,15448.4,8.23407554009556,8.23407554009556,2.7069761727802475,2.7069761727802475,239.02363899832167,0,0.0,0.868256,0.00391656233194365,2.4550814,0.08749438890751797,18.4,4.722287581247038,1.4220028,0.00637661169430914,0.1164598,0.00396181993533275
S5,0,LLM,111.4,111.4,110.672,110.672,111.8,400.0,25737.2,1.816590212458495,1.816590212458495,2.7217126960794387,2.7217126960794387,323.15816560934985,0,0.0,0.7402435775690183,0.014618097302325819,2.4475141132219727,0.15350182788732164,61.8,2.588435821108957,1.4292504475214318,0.006377222604958201,0.11195683121546571,0.003962463331419493
