regen,metab,survival_probability,mean_final_population,std_final_population,mean_births,std_births,has_reproduction
0.721,1.276,1.0,135.638,15.756870120680693,74153.628,3756.635557731945,1
0.936,0.447,1.0,225.0,0.0,175.0,0.0,1
0.274,0.626,1.0,107.292,18.880432622162026,63304.152,3500.514136080013,1
1.299,0.851,1.0,225.0,0.0,175.0,0.0,1
0.797,1.695,1.0,115.202,20.167230746932017,72669.858,3021.7107978487948,1
1.471,2.154,1.0,158.38,15.705782374654246,75059.364,2940.1085666185863,1
0.646,1.581,1.0,100.396,19.380071826492287,60440.666,3240.752982015754,1
1.079,1.369,1.0,179.746,10.153102186031617,56066.578,2728.7742105047823,1
0.144,2.756,0.0,0.0,0.0,181.086,96.17294112171054,1
1.087,1.933,1.0,138.222,18.431297187121693,86292.424,4039.0493767994467,1
0.024,1.883,0.0,0.0,0.0,221.618,16.20111341852775,1
0.291,1.817,0.262,11.55,21.716710156006595,14640.174,11940.994902926806,1
0.23,2.187,0.008,0.136,1.8377986832077122,1109.016,2527.4253950896355,1
0.476,1.344,1.0,90.008,20.648388217969945,57949.742,3814.4695305423534,1
1.264,0.35,1.0,225.0,0.0,175.0,0.0,1
1.146,0.831,1.0,225.0,0.0,175.0,0.0,1
0.543,0.785,1.0,161.114,12.633329094106589,60887.886,2603.0118687789345,1
0.779,1.939,1.0,100.426,22.834546722017496,65332.02,3151.9154569245666,1
0.626,2.144,0.91,68.726,31.75082556406998,53775.418,8998.755748617472,1
1.057,3.086,0.0,0.0,0.0,215.182,18.25948728743499,1
0.478,2.176,0.434,26.42,33.574329479529446,30128.774,15354.265929666713,1
0.835,0.577,1.0,225.0,0.0,175.0,0.0,1
0.639,1.037,1.0,145.646,14.513465609564106,64882.206,2962.683359315335,1
0.905,1.735,1.0,130.532,18.017685089933167,89057.456,3917.080911094893,1
1.416,1.606,1.0,199.238,7.233626752881296,40520.774,2176.6034289516315,1
0.514,1.012,1.0,128.07,17.818223817204675,88368.222,4140.9186368143,1
0.534,2.388,0.3,16.72,28.130154638750213,27109.53,15999.250344972417,1
0.536,0.231,1.0,225.0,0.0,175.0,0.0,1
0.227,1.297,0.496,22.862,27.34327990567335,23782.282,10016.085781106109,1
0.937,2.124,1.0,112.528,22.896489163188313,75383.45,2794.0038345535604,1
0.257,2.587,0.014,0.208,2.6496671489075756,1114.586,2153.753434031853,1
0.941,2.27,1.0,104.716,24.958672721120408,72719.962,2328.249471288676,1
0.004,3.065,0.0,0.0,0.0,104.388,13.150568656906058,1
1.004,1.858,1.0,131.896,18.415894873722536,85113.11,3933.579178547192,1
0.483,2.085,0.572,34.396,34.950810920492245,35556.684,14270.111555981051,1
1.353,3.051,0.0,0.0,0.0,291.844,17.81234583091177,1
1.282,1.255,1.0,225.0,0.0,175.0,0.0,1
0.457,1.295,1.0,88.546,20.254181889180316,58095.914,3710.651294665668,1
0.361,1.13,1.0,81.184,19.45040215522548,52874.934,3882.8137845696388,1
0.89,2.175,1.0,102.16,24.300419749461117,69953.27,2610.3326648341204,1
1.313,1.631,1.0,183.826,9.850062131783739,55137.752,2720.0663746489718,1
1.358,0.723,1.0,225.0,0.0,175.0,0.0,1
0.77,2.1,1.0,95.492,24.1292754967902,67167.424,2740.610537129273,1
1.388,2.625,1.0,137.176,24.49826573453721,101102.396,1229.4077562729137,1
0.159,0.493,1.0,82.714,19.982897787858494,53544.938,3635.6669245347543,1
0.508,1.757,0.988,71.746,23.755451669037992,51458.1,4006.7580772989027,1
0.386,1.793,0.652,34.66,30.686485624782776,34860.202,10726.440916967565,1
0.14,0.991,0.31,11.466,19.181679905576573,15510.456,8138.872280363171,1
0.439,1.66,0.968,67.394,24.767049965629738,48039.836,6127.804775701001,1
0.249,2.443,0.002,0.028,0.6254726213032831,960.556,1968.666288344472,1
0.832,1.267,1.0,152.676,14.022090571665837,62844.802,2616.556727226834,1
1.097,0.583,1.0,225.0,0.0,175.0,0.0,1
1.475,0.338,1.0,225.0,0.0,175.0,0.0,1
0.475,1.163,1.0,101.062,18.95611131007623,58293.672,3273.4592608456273,1
1.113,0.246,1.0,225.0,0.0,175.0,0.0,1
0.686,2.361,0.68,50.382,40.47073110286,48440.278,15823.604832803301,1
0.868,1.665,1.0,129.044,18.63453954354655,88300.43,3844.5505226359037,1
0.901,2.698,0.944,84.056,32.752906191664884,68942.276,8500.410702773366,1
0.506,2.883,0.01,0.152,2.022101876760911,5341.94,6190.139584888212,1
0.998,0.434,1.0,225.0,0.0,175.0,0.0,1
1.27,1.76,1.0,166.528,12.931558916078139,67385.734,3024.418534403597,1
0.676,1.743,1.0,96.062,21.12595929182862,62008.906,3240.806249864993,1
0.848,0.355,1.0,225.0,0.0,175.0,0.0,1
1.21,1.283,1.0,212.62,4.302046024858405,24456.726,1829.1116124840496,1
0.657,2.395,0.588,42.676,40.57175155203433,42452.392,15955.978820314847,1
0.302,2.535,0.012,0.222,2.6466424012321723,2530.936,4020.4541842811736,1
0.997,2.764,0.746,68.926,47.3880208913603,62434.302,18156.549794903105,1
0.011,1.755,0.0,0.0,0.0,232.936,16.528033881862658,1
0.309,2.253,0.05,1.854,9.260490483770285,5054.982,7021.912883372735,1
1.063,2.618,0.918,94.13,38.94587397915215,67187.196,10416.090282134848,1
0.044,2.008,0.0,0.0,0.0,213.474,17.59833298923509,1
0.048,2.334,0.0,0.0,0.0,183.716,16.478815005940202,1
1.127,0.337,1.0,225.0,0.0,175.0,0.0,1
1.365,0.486,1.0,225.0,0.0,175.0,0.0,1
0.98,3.088,0.0,0.0,0.0,206.1,18.609406223735352,1
0.43,1.019,1.0,103.262,19.173350150664856,60261.198,3178.50271524125,1
0.154,2.2,0.002,0.002,0.044676615807377355,245.592,207.12817658638335,1
0.643,0.714,1.0,203.732,6.176744773746119,33482.304,2029.6841664613733,1
0.874,2.545,0.938,86.142,34.7510264021079,68463.484,8543.73850710238,1
0.702,2.524,0.462,32.882,39.44915811522471,36794.924,17850.33592776965,1
0.843,0.467,1.0,225.0,0.0,175.0,0.0,1
0.123,0.515,0.966,58.028,22.539370355003264,41820.958,4911.520962007186,1
0.709,0.465,1.0,225.0,0.0,175.0,0.0,1
0.626,3.067,0.0,0.0,0.0,183.238,17.774401705824026,1
0.355,2.85,0.002,0.002,0.044676615807377355,2366.45,3271.502797721561,1
0.814,0.3,1.0,225.0,0.0,175.0,0.0,1
0.568,2.105,0.848,59.432,33.67048226562845,49926.946,10759.806160664979,1
1.391,1.807,1.0,176.766,11.991632249197773,66576.33,3609.965227685718,1
0.992,0.247,1.0,225.0,0.0,175.0,0.0,1
0.639,2.465,0.526,36.642,38.702323392788706,40529.402,16556.670024144227,1
1.289,2.565,1.0,128.314,20.622982422530452,100429.928,1727.6142355329214,1
0.453,3.042,0.0,0.0,0.0,173.272,18.006610341760606,1
0.357,2.523,0.024,0.828,5.942256810337297,5569.216,6527.785988016458,1
0.008,1.555,0.0,0.0,0.0,254.84,17.05668197510876,1
1.044,1.421,1.0,169.068,12.216520617589936,62371.728,2779.7703613816734,1
0.146,1.486,0.01,0.106,2.01860446843853,660.764,1518.1377988522647,1
1.268,0.661,1.0,225.0,0.0,175.0,0.0,1
0.599,1.373,1.0,107.452,20.316389836779564,63868.768,3274.904102744995,1
0.272,1.064,0.986,64.24,21.73086284527147,45361.542,4814.002393459729,1
1.378,0.374,1.0,225.0,0.0,175.0,0.0,1
0.287,3.002,0.0,0.0,0.0,171.2,16.055404074641036,1
1.126,1.822,1.0,145.188,16.010891792776565,72165.326,3404.7800087118694,1
0.038,0.901,0.0,0.0,0.0,367.11,16.04362490212234,1
0.471,0.242,1.0,225.0,0.0,175.0,0.0,1
1.342,0.23,1.0,225.0,0.0,175.0,0.0,1
1.482,1.226,1.0,225.0,0.0,175.0,0.0,1
0.617,1.543,1.0,98.968,20.371621830379635,59270.038,3307.8103035929976,1
1.445,1.125,1.0,225.0,0.0,175.0,0.0,1
0.312,1.43,0.762,43.478,30.818330843833834,35341.21,9323.515573961358,1
0.009,1.197,0.0,0.0,0.0,307.816,15.192963634525029,1
1.398,1.847,1.0,174.48,12.01006244779768,71934.232,3992.321409678334,1
0.753,0.302,1.0,225.0,0.0,175.0,0.0,1
1.49,0.809,1.0,225.0,0.0,175.0,0.0,1
0.695,1.607,1.0,106.786,20.36389461768058,64316.404,3229.9014896408216,1
0.19,2.431,0.002,0.002,0.044676615807377355,393.114,777.7158562122801,1
1.154,1.821,1.0,149.612,16.127041142131436,70017.736,3014.2474905528243,1
0.069,2.233,0.0,0.0,0.0,197.866,18.144311615489855,1
0.976,2.696,0.77,72.512,46.923191025334155,63073.27,17625.201676834797,1
0.363,0.387,1.0,211.582,4.77569638900967,23519.912,1823.0587111379598,1
0.158,0.797,0.768,39.584,27.50947007850206,33217.378,8503.137544172505,1
0.223,2.92,0.008,0.008,0.08908422980528033,288.534,442.9285279184442,1
0.451,2.003,0.614,35.536,33.619945032673684,34836.746,13260.66313098572,1
0.809,1.979,1.0,100.942,23.432768423726632,66753.476,2954.4762908887933,1
0.025,2.264,0.0,0.0,0.0,186.154,17.382125416645685,1
0.186,1.889,0.01,0.102,1.5848015648654568,831.674,2246.251544178434,1
0.012,0.354,0.016,0.034,0.32379623222020365,605.652,104.1407264042267,1
