scenario,layer,mode,avg_final_global,avg_final_survived,avg_last50_global,avg_last50_survived,avg_max_pop,avg_steps_alive,total_moves,std_final_global,std_final_survived,std_last50_global,std_last50_survived,std_moves,n_extinctions,extinction_rate,avg_movement_frequency,std_movement_frequency,avg_harvested_food,std_harvested_food,avg_reproduction_events,std_reproduction_events,avg_action_entropy,std_action_entropy,avg_policy_confidence,std_policy_confidence
S1,0,LLM,0.0,nan,0.0,nan,50.0,31.4,443.0,0.0,nan,0.0,nan,26.59887215654077,5,1.0,0.8642955999999999,0.011695185261465506,2.3260140000000002,0.022639907541772482,0.0,0.0,1.4720318000000001,0.02479607155780936,0.08537520000000001,0.015406932196255036
S2,0,LLM,24.8,24.8,24.636000000000003,24.636000000000003,50.0,400.0,9889.6,4.207136793592526,4.207136793592526,4.064785357186773,4.064785357186773,1173.639126818802,0,0.0,0.9159280000000001,0.0009401534449226895,2.7027077999999998,0.03485103574787984,0.2,0.44721359549995804,1.4368906,0.01399039042700381,0.10720959999999999,0.008692624764707146
S3,0,LLM,33.4,33.4,33.4,33.4,50.0,400.0,12948.2,2.302172886644268,2.302172886644268,2.302172886644268,2.302172886644268,567.5162552738027,0,0.0,0.9050533999999999,0.00355578842171468,2.5878752,0.05063307497772581,0.0,0.0,1.4114746,0.010289192208331983,0.1230016,0.006392975113356846
S4,0,LLM,39.2,39.2,39.2,39.2,50.0,400.0,15075.6,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.4472135954999579,113.41648910101212,0,0.0,0.8927660173055812,0.002313718909358502,2.458068324950395,0.07944538568498898,0.0,0.0,1.4060054905714268,0.0032667628049739576,0.1263996705253476,0.002029753853650267
S5,0,LLM,52.6,52.6,52.288,52.288,52.6,400.0,17734.2,0.5477225575051661,0.5477225575051661,0.8249363611818782,0.8249363611818782,153.33525361116406,0,0.0,0.8679466181180843,0.0030108433792767,2.9493865946873563,0.0025944727658858227,2.6,0.5477225575051661,1.4273734613413727,0.004961120971434131,0.11312300380533158,0.003082517774128364
