scenario,layer,mode,avg_final_global,avg_final_survived,avg_last50_global,avg_last50_survived,avg_max_pop,avg_steps_alive,total_moves,std_final_global,std_final_survived,std_last50_global,std_last50_survived,std_moves,n_extinctions,extinction_rate,avg_movement_frequency,std_movement_frequency,avg_harvested_food,std_harvested_food,avg_reproduction_events,std_reproduction_events,avg_action_entropy,std_action_entropy,avg_policy_confidence,std_policy_confidence
S1,0,LLM,0.0,nan,0.0,nan,53.0,20.6,436.0,0.0,nan,0.0,nan,36.29738282576307,5,1.0,0.8629186000000001,0.012667326466149034,2.3350744,0.016897731335892414,15.6,4.03732584763727,1.4336141999999998,0.018491204455091604,0.1092454,0.011489169956963818
S2,0,LLM,25.0,25.0,32.42,32.42,77.2,400.0,11486.6,5.787918451395113,5.787918451395113,9.28332914422407,9.28332914422407,256.9188587861934,0,0.0,0.8935711999999999,0.010709306522833304,1.9472391999999998,0.018165309499152453,409.2,23.84743172754668,1.3876806,0.00903456777051343,0.13778579999999999,0.005613700446229748
S3,0,LLM,37.4,37.4,42.652,42.652,85.2,400.0,13534.2,5.941380311005179,5.941380311005179,5.607006331367924,5.607006331367924,121.18869584247534,0,0.0,0.8750736,0.004163848736445673,1.8634292000000001,0.017738077367629237,457.8,19.30543964793343,1.3924292,0.008148967646272747,0.13483499999999998,0.005063229305492693
S4,0,LLM,0.0,nan,0.0,nan,57.6,35.0,856.6,0.0,nan,0.0,nan,1915.41582952632,5,1.0,0.1600524,0.35788804636198734,0.9214878000000001,0.4255830132826028,29.6,66.18761213399378,0.29976759999999997,0.6703007310519659,0.813744,0.41648107721720085
S5,0,LLM,38.8,97.0,39.32,98.3,98.6,180.8,10911.0,53.246596135339956,7.0710678118654755,53.86359624087497,3.111269837220813,14940.530880795368,3,0.6,0.2733288769890299,0.37427245120905694,0.6906978177798337,0.283924793389514,336.8,461.3579954872355,0.5943444120108259,0.8138411120097856,0.6307130536573825,0.5056679140725219
