fold,epoch,train_loss,train_move_loss,train_repro_loss,train_move_acc,train_repro_acc,val_loss,val_move_loss,val_repro_loss,val_move_acc,val_repro_acc
1,58,1.090312,0.136900,0.953412,0.948510,0.540431,1.058443,0.116889,0.941553,0.951116,0.540047
1,59,1.089347,0.136695,0.952652,0.948851,0.542921,1.054127,0.111172,0.942956,0.954386,0.516247
1,60,1.088625,0.135980,0.952645,0.947777,0.541227,1.054870,0.113305,0.941564,0.952937,0.545511
1,61,1.089284,0.136202,0.953082,0.948207,0.543136,1.058116,0.112510,0.945605,0.953144,0.494309
1,62,1.089408,0.135713,0.953695,0.948282,0.539837,1.060075,0.113200,0.946875,0.952440,0.486154
1,63,1.087798,0.135206,0.952592,0.949293,0.540709,1.053624,0.110446,0.943178,0.953930,0.514177
1,64,1.088028,0.135170,0.952858,0.947789,0.542479,1.057699,0.111203,0.946495,0.952647,0.486485
1,65,1.087086,0.134914,0.952172,0.948523,0.541998,1.052841,0.111234,0.941606,0.954386,0.547870
1,66,1.087303,0.134205,0.953098,0.948624,0.543262,1.055097,0.112700,0.942397,0.952771,0.528913
1,67,1.086103,0.133096,0.953007,0.948876,0.542163,1.057929,0.114940,0.942989,0.952357,0.516453
2,1,1.956096,0.962077,0.994019,0.676791,0.490096,1.471721,0.448256,1.023466,0.891703,0.488654
2,2,1.304033,0.319892,0.984140,0.922526,0.508261,1.291184,0.277137,1.014047,0.926213,0.507091
2,3,1.230841,0.248849,0.981992,0.934182,0.507773,1.252806,0.231766,1.021040,0.932871,0.558029
2,4,1.209028,0.228116,0.980912,0.937007,0.510302,1.221104,0.205652,1.015452,0.940908,0.530098
2,5,1.197132,0.217086,0.980046,0.938509,0.511291,1.219919,0.200571,1.019348,0.938229,0.559447
2,6,1.189043,0.208896,0.980147,0.940794,0.515129,1.214973,0.197148,1.017825,0.935471,0.559329
2,7,1.182398,0.203225,0.979173,0.941166,0.515052,1.201849,0.187605,1.014244,0.941026,0.541798
2,8,1.177997,0.199107,0.978889,0.942090,0.517376,1.199986,0.183091,1.016895,0.940356,0.565159
2,9,1.173363,0.194598,0.978765,0.942642,0.517170,1.201239,0.176270,1.024969,0.942523,0.589663
2,10,1.168477,0.190293,0.978184,0.943361,0.520957,1.187596,0.173333,1.014263,0.943350,0.555350
2,11,1.164870,0.186536,0.978335,0.943592,0.522729,1.186680,0.171262,1.015418,0.943902,0.558777
2,12,1.161325,0.183127,0.978197,0.943810,0.521971,1.184942,0.166807,1.018135,0.943035,0.571659
2,13,1.158396,0.180190,0.978205,0.942835,0.523615,1.172898,0.164567,1.008331,0.943193,0.515088
2,14,1.154703,0.176729,0.977975,0.944324,0.521663,1.170245,0.160097,1.010148,0.944729,0.536519
2,15,1.152138,0.174075,0.978063,0.944285,0.524321,1.167764,0.157136,1.010628,0.944611,0.539828
2,16,1.150030,0.172052,0.977978,0.943990,0.522254,1.167838,0.155798,1.012040,0.944611,0.541089
2,17,1.147478,0.169243,0.978235,0.944799,0.525925,1.184919,0.158356,1.026563,0.942917,0.608100
2,18,1.146052,0.168129,0.977923,0.943875,0.526246,1.163155,0.150214,1.012941,0.946541,0.554995
2,19,1.143318,0.165143,0.978175,0.945287,0.527825,1.161839,0.152098,1.009741,0.943980,0.533171
2,20,1.141556,0.163644,0.977912,0.944337,0.524102,1.180226,0.147091,1.033134,0.946226,0.625236
2,21,1.139337,0.161804,0.977533,0.945133,0.528172,1.168721,0.148856,1.019865,0.946147,0.581193
2,22,1.137497,0.160106,0.977391,0.945235,0.528031,1.161196,0.148705,1.012491,0.945162,0.553498
2,23,1.135991,0.158353,0.977638,0.945929,0.528608,1.159616,0.144506,1.015110,0.946777,0.564765
2,24,1.134777,0.157147,0.977630,0.945364,0.526862,1.159823,0.146348,1.013475,0.945674,0.557241
2,25,1.132615,0.155079,0.977535,0.946802,0.527594,1.159812,0.143089,1.016724,0.946187,0.571187
2,26,1.131149,0.153552,0.977597,0.946596,0.527530,1.155144,0.143356,1.011788,0.944887,0.546683
2,27,1.129499,0.152222,0.977277,0.946416,0.528916,1.160124,0.143743,1.016381,0.945005,0.570202
2,28,1.128460,0.151242,0.977218,0.946493,0.528172,1.157097,0.140319,1.016778,0.946777,0.572644
2,29,1.128452,0.150911,0.977541,0.946018,0.529956,1.153136,0.139919,1.013217,0.946344,0.555310
2,30,1.125947,0.148536,0.977411,0.947212,0.526862,1.152956,0.139543,1.013413,0.946029,0.556571
2,31,1.125862,0.148346,0.977516,0.946147,0.529096,1.154978,0.137791,1.017187,0.948078,0.574299
2,32,1.125473,0.148062,0.977410,0.946416,0.529353,1.153933,0.139624,1.014309,0.945084,0.562914
2,33,1.123657,0.146379,0.977278,0.947110,0.530418,1.151018,0.142763,1.008255,0.944808,0.532067
2,34,1.123410,0.145950,0.977460,0.946339,0.529841,1.154582,0.139327,1.015255,0.944256,0.569138
2,35,1.121616,0.144255,0.977362,0.947238,0.528672,1.151579,0.138947,1.012632,0.944650,0.556413
2,36,1.120351,0.143098,0.977253,0.947187,0.529160,1.146790,0.135139,1.011652,0.946620,0.552238
2,37,1.120394,0.143102,0.977292,0.947405,0.529379,1.146673,0.136269,1.010404,0.944887,0.541168
2,38,1.118338,0.141300,0.977038,0.948470,0.528762,1.155233,0.137423,1.017810,0.943862,0.580523
2,39,1.118211,0.140764,0.977447,0.947970,0.530585,1.141811,0.131910,1.009901,0.947171,0.546722
2,40,1.117704,0.140378,0.977326,0.948458,0.528634,1.152135,0.134353,1.017783,0.946384,0.578632
2,41,1.117081,0.140113,0.976968,0.948791,0.529674,1.149012,0.131825,1.017187,0.946935,0.576544
2,42,1.118074,0.140759,0.977315,0.947328,0.528377,1.156878,0.131203,1.025675,0.947368,0.606524
2,43,1.116489,0.139588,0.976901,0.947816,0.530803,1.152166,0.135636,1.016530,0.945399,0.575953
2,44,1.115311,0.138576,0.976735,0.948496,0.528698,1.147261,0.132234,1.015027,0.947526,0.568705
2,45,1.114664,0.137573,0.977091,0.949318,0.531651,1.145798,0.128523,1.017275,0.948511,0.577529
2,46,1.114553,0.137366,0.977187,0.949099,0.528929,1.153196,0.131067,1.022129,0.947644,0.595533
2,47,1.113800,0.137214,0.976587,0.948933,0.529571,1.143601,0.134821,1.008780,0.944847,0.535968
2,48,1.113311,0.136491,0.976820,0.949343,0.530649,1.140586,0.128189,1.012397,0.947959,0.558344
2,49,1.111946,0.135071,0.976874,0.949574,0.527594,1.158883,0.141645,1.017238,0.944059,0.576269
2,50,1.113269,0.135880,0.977390,0.949254,0.529404,1.139129,0.129181,1.009948,0.947920,0.544753
2,51,1.110810,0.133802,0.977008,0.950062,0.529340,1.143336,0.132168,1.011169,0.947526,0.549086
2,52,1.111193,0.134181,0.977012,0.949767,0.528352,1.146668,0.132619,1.014049,0.946699,0.564568
2,53,1.109760,0.132851,0.976909,0.950293,0.530149,1.146585,0.128797,1.017788,0.947447,0.579144
2,54,1.110444,0.133247,0.977197,0.949716,0.529096,1.142221,0.131721,1.010501,0.947959,0.544477
2,55,1.108979,0.131961,0.977018,0.950601,0.528698,1.143177,0.129362,1.013815,0.947093,0.564056
2,56,1.108542,0.132134,0.976408,0.950396,0.529456,1.144469,0.127797,1.016671,0.947644,0.577175
2,57,1.109499,0.132516,0.976983,0.949292,0.529854,1.136339,0.126005,1.010334,0.949181,0.547825
2,58,1.108056,0.131432,0.976624,0.950062,0.528993,1.136892,0.124458,1.012434,0.949299,0.559880
2,59,1.107758,0.130841,0.976917,0.950255,0.529545,1.142274,0.127696,1.014578,0.948471,0.566853
2,60,1.107098,0.130574,0.976524,0.950422,0.529070,1.138261,0.126016,1.012244,0.948511,0.556807
2,61,1.106606,0.130003,0.976603,0.951256,0.530675,1.140314,0.124080,1.016233,0.949890,0.569965
2,62,1.107051,0.130013,0.977038,0.950768,0.529610,1.133222,0.124740,1.008482,0.949141,0.535219
2,63,1.106309,0.129289,0.977020,0.951102,0.528685,1.146426,0.127546,1.018880,0.948275,0.583399
2,64,1.105684,0.129122,0.976561,0.950435,0.531099,1.135739,0.120477,1.015263,0.950875,0.570280
2,65,1.104719,0.127910,0.976809,0.951269,0.529468,1.137186,0.124124,1.013062,0.950205,0.563505
2,66,1.104225,0.127271,0.976954,0.951153,0.530803,1.135467,0.127469,1.007998,0.947487,0.529192
2,67,1.106069,0.129307,0.976761,0.950691,0.527389,1.134432,0.122822,1.011610,0.950441,0.553892
2,68,1.103436,0.126643,0.976793,0.951860,0.529931,1.135511,0.124220,1.011291,0.948275,0.553183
2,69,1.104585,0.127667,0.976918,0.951166,0.526734,1.146861,0.130108,1.016753,0.948038,0.578672
2,70,1.103762,0.127000,0.976763,0.951847,0.530097,1.139588,0.122762,1.016826,0.950244,0.577293
2,71,1.103170,0.126769,0.976402,0.951449,0.531458,1.142535,0.123559,1.018976,0.947841,0.585723
2,72,1.103332,0.126549,0.976782,0.951667,0.529494,1.135909,0.120697,1.015211,0.950875,0.571108
3,1,1.835732,0.844061,0.991671,0.708451,0.466550,1.327801,0.252100,1.075701,0.942188,0.463946
3,2,1.259061,0.275582,0.983478,0.928991,0.516947,1.248408,0.176650,1.071758,0.953587,0.459242
